date,product_name,sku,quantity_sold,revenue,category,store_id
2026-06-15,Noise Cancelling Headphones,P0131,18,341982,Electronics,S0085
2026-06-16,Noise Cancelling Headphones,P0131,19,360981,Electronics,S0085
2026-06-17,Noise Cancelling Headphones,P0131,20,379980,Electronics,S0085
2026-06-18,Noise Cancelling Headphones,P0131,20,379980,Electronics,S0085
2026-06-19,Noise Cancelling Headphones,P0131,20,379980,Electronics,S0085
2026-06-20,Noise Cancelling Headphones,P0131,23,436977,Electronics,S0085
2026-06-21,Noise Cancelling Headphones,P0131,23,436977,Electronics,S0085
2026-06-22,Noise Cancelling Headphones,P0131,18,341982,Electronics,S0085
2026-06-23,Noise Cancelling Headphones,P0131,17,322983,Electronics,S0085
2026-06-24,Noise Cancelling Headphones,P0131,17,322983,Electronics,S0085
2026-06-25,Noise Cancelling Headphones,P0131,16,303984,Electronics,S0085
2026-06-26,Noise Cancelling Headphones,P0131,16,303984,Electronics,S0085
2026-06-27,Noise Cancelling Headphones,P0131,20,379980,Electronics,S0085
2026-06-28,Noise Cancelling Headphones,P0131,21,398979,Electronics,S0085
2026-06-29,Noise Cancelling Headphones,P0131,18,341982,Electronics,S0085
2026-06-30,Noise Cancelling Headphones,P0131,19,360981,Electronics,S0085
2026-07-01,Noise Cancelling Headphones,P0131,20,379980,Electronics,S0085
2026-07-02,Noise Cancelling Headphones,P0131,21,398979,Electronics,S0085
2026-07-03,Noise Cancelling Headphones,P0131,21,398979,Electronics,S0085
2026-07-04,Noise Cancelling Headphones,P0131,24,455976,Electronics,S0085
2026-07-05,Noise Cancelling Headphones,P0131,23,436977,Electronics,S0085
2026-07-06,Noise Cancelling Headphones,P0131,19,360981,Electronics,S0085
2026-07-07,Noise Cancelling Headphones,P0131,18,341982,Electronics,S0085
2026-07-08,Noise Cancelling Headphones,P0131,17,322983,Electronics,S0085
2026-07-09,Noise Cancelling Headphones,P0131,17,322983,Electronics,S0085
2026-07-10,Noise Cancelling Headphones,P0131,17,322983,Electronics,S0085
2026-07-11,Noise Cancelling Headphones,P0131,20,379980,Electronics,S0085
2026-07-12,Noise Cancelling Headphones,P0131,21,398979,Electronics,S0085
2026-07-13,Noise Cancelling Headphones,P0131,19,360981,Electronics,S0085
2026-07-14,Noise Cancelling Headphones,P0131,20,379980,Electronics,S0085
2026-07-15,Noise Cancelling Headphones,P0131,21,398979,Electronics,S0085
2026-07-16,Noise Cancelling Headphones,P0131,21,398979,Electronics,S0085
2026-07-17,Noise Cancelling Headphones,P0131,21,398979,Electronics,S0085
2026-07-18,Noise Cancelling Headphones,P0131,25,474975,Electronics,S0085
2026-07-19,Noise Cancelling Headphones,P0131,24,455976,Electronics,S0085
